feature,mean_importance,std_importance
ST_Slope,0.10744261119081773,0.0182827276277233
ChestPainType,0.0233859397417503,0.008053714112115104
Sex,0.020516499282639815,0.005994525225104111
ExerciseAngina,0.014430894308943027,0.005334052038746045
Oldpeak,0.01250597800095642,0.005389279762121367
FastingBS,0.006731229076996586,0.002210761421267571
MaxHR,0.0065997130559540314,0.004386663456236044
RestingBP,0.005936154949784722,0.0017774980444331698
Cholesterol,0.004124820659971234,0.0017844107552127265
RestingECG,0.002725968436154869,0.0011033258723155731
Age,0.0018950263032041447,0.0013363339453206665
